STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-30,,0.03,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-03-31,,0,0,0,,85,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-01,,0.31,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-02,,0.11,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-03,,0.01,0,0,,84,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-04,,0,0,0,,86,66,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-05,,0,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-06,,0,0,0,,87,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-07,,0,0,0,,86,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-08,,0.19,0,0,,87,66,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-09,,0.08,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-10,,0,0,0,,88,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-11,,0,0,0,,86,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-12,,0,0,0,,87,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-13,,0,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-14,,0.39,0,0,,84,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-15,,0,0,0,,86,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-16,,0.02,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-17,,0.02,0,0,,87,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-18,,0,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-19,,0.19,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-20,,0.34,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-21,,0.37,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-22,,0,0,0,,84,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-23,,0.08,0,0,,87,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-24,,0.15,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-25,,0.08,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-26,,0.04,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-27,,0.17,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-28,,0.05,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-29,,0.48,0,0,,84,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-04-30,,0.05,0,0,,85,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-01,,0.11,0,0,,86,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-02,,0.05,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-03,,0,0,0,,87,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-04,,0,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-05,,0.12,0,0,,86,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-06,,0.07,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-07,,1.08,0,0,,83,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-08,,0,0,0,,86,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-09,,0.01,0,0,,89,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-10,,0,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-11,,0,0,0,,86,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-12,,0,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-13,,0,0,0,,87,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-14,,0,0,0,,87,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-15,,0,0,0,,87,64,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-16,,0,0,0,,89,65,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-17,,0.05,0,0,,89,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-18,,0.11,0,0,,88,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-19,,0,0,0,,88,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-20,,0.02,0,0,,89,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-21,,0,0,0,,89,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-22,,0,0,0,,89,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-23,,0.01,0,0,,89,77,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-24,,0.05,0,0,,89,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-25,,0.01,0,0,,90,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-26,,0.02,0,0,,89,77,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-27,,0.02,0,0,,89,77,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-28,,0.01,0,0,,88,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-29,,0.02,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-30,,0,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-05-31,,0.07,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-01,,0.05,0,0,,89,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-02,,0.04,0,0,,89,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-03,,0.03,0,0,,89,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-04,,0.06,0,0,,90,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-05,,0.02,0,0,,89,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-06,,0.04,0,0,,89,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-07,,0.04,0,0,,91,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-08,,0.23,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-09,,0,0,0,,90,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-10,,0,0,0,,89,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-11,,0.02,0,0,,89,78,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-12,,0.12,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-13,,0.14,0,0,,88,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-14,,0,0,0,,89,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-15,,0,0,0,,90,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-16,,0,0,0,,90,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-17,,0,0,0,,90,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-18,,0.25,0,0,,90,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-19,,0,0,0,,88,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-20,,0.79,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-21,,0.27,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-22,,0.13,0,0,,87,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-23,,0.27,0,0,,87,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-24,,0.22,0,0,,88,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-25,,0.2,0,0,,86,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-26,,0.12,0,0,,88,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-27,,0,0,0,,87,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-28,,0.17,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-29,,0.04,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-06-30,,0.21,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-01,,0.16,0,0,,86,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-02,,0.24,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-03,,0.07,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-04,,0.42,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-05,,0.6,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-06,,0.17,0,0,,86,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-07,,0.02,0,0,,87,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-08,,0.02,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-09,,0,0,0,,86,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-10,,0.63,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-11,,0.2,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-12,,0.61,0,0,,86,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-13,,0,0,0,,87,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-14,,0,0,0,,88,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-15,,0,0,0,,88,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-16,,0,0,0,,88,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-17,,0.01,0,0,,90,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-18,,0,0,0,,89,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-19,,0,0,0,,90,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-20,,0.03,0,0,,90,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-21,,0,0,0,,89,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-22,,0.05,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-23,,0,0,0,,89,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-24,,0.1,0,0,,90,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-25,,0,0,0,,89,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-26,,0,0,0,,90,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-27,,0.01,0,0,,91,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-28,,1.37,0,0,,83,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-29,,0,0,0,,90,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-30,,0,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-07-31,,0.03,0,0,,89,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-01,,0,0,0,,89,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-02,,0.28,0,0,,88,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-03,,0,0,0,,90,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-04,,0.1,0,0,,89,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-05,,0.84,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-06,,0,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-07,,0.74,0,0,,88,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-08,,0.41,0,0,,87,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-09,,0,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-10,,0.03,0,0,,88,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-11,,0.09,0,0,,88,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-12,,0.31,0,0,,88,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-13,,1.14,0,0,,85,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-14,,0.04,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-15,,0,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-16,,2.04,0,0,,87,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-17,,0,0,0,,89,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-18,,1.15,0,0,,86,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-19,,0.4,0,0,,79,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-20,,0.17,0,0,,86,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-21,,0.09,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-22,,0.39,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-23,,0.19,0,0,,87,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-24,,0.2,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-25,,0.45,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-26,,0.05,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-27,,1.3,0,0,,84,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-28,,2.91,0,0,,80,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-29,,0.43,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-30,,0,0,0,,88,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-08-31,,0.02,0,0,,86,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-01,,0.6,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-02,,0.12,0,0,,88,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-03,,0,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-04,,0,0,0,,88,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-05,,1.11,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-06,,0.06,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-07,,1.33,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-08,,0.28,0,0,,88,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-09,,0.43,0,0,,88,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-10,,0.12,0,0,,90,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-11,,0.66,0,0,,85,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-12,,0.23,0,0,,88,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-13,,0.96,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-14,,0.03,0,0,,89,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-15,,3.87,0,0,,88,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-16,,0.05,0,0,,88,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-17,,0.08,0,0,,91,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-18,,0.83,0,0,,91,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-19,,0.35,0,0,,95,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-20,,0.03,0,0,,91,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-21,,0.07,0,0,,88,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-22,,0.72,0,0,,80,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-23,,0.53,0,0,,88,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-24,,0.35,0,0,,84,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-25,,0,0,0,,89,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-26,,0.07,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-27,,0.26,0,0,,85,70,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-28,,0.21,0,0,,88,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-29,,0.17,0,0,,88,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-09-30,,1.27,0,0,,86,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-01,,0.03,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-02,,0.24,0,0,,88,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-03,,0.06,0,0,,90,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-04,,0.31,0,0,,90,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-05,,1.37,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-06,,3.97,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-07,,1.7,0,0,,81,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-08,,0.25,0,0,,85,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-09,,0.6,0,0,,84,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-10,,0,0,0,,87,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-11,,0.2,0,0,,86,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-12,,0.01,0,0,,87,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-13,,0.5,0,0,,86,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-14,,0.21,0,0,,86,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-15,,0.11,0,0,,86,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-16,,0.1,0,0,,85,67,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-17,,0.16,0,0,,86,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-18,,0,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-19,,0.06,0,0,,87,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-20,,0,0,0,,86,68,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-21,,0.09,0,0,,85,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-22,,3.48,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-23,,0.6,0,0,,88,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-24,,0.26,0,0,,86,76,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-25,,0.68,0,0,,89,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-26,,1.03,0,0,,87,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-27,,2.19,0,0,,85,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-28,,0.97,0,0,,91,69,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-29,,0.66,0,0,,85,72,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-30,,0.45,0,0,,86,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-10-31,,0.3,0,0,,85,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-11-01,,0.17,0,0,,87,74,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-11-02,,0.22,0,0,,87,71,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-11-03,,0.03,0,0,,88,75,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-11-04,,0.07,0,0,,89,73,
GQW00041415,"GUAM INTERNATIONAL AIRPORT, GU GQ",1957-11-05,,0.11,0,0,,87,73,
